iddata,idmin,mu_eff,alpha,robin,gamma,obj
00530,00036,2.555750068420555e+02,1.192270000000000e-07,0.000000000000000e+00,2.287330000000000e-05, 8.05071e+04
00495,00013,1.465481514962979e+02,1.385457655255256e-07,0.000000000000000e+00,2.287330000000000e-05, 1.14889e+06
00433,00012,8.000000000000000e-01,1.388144119532732e-07,0.000000000000000e+00,2.287330000000000e-05, 1.54311e+05
00497,00013,9.224172297392788e+01,1.385963063111791e-07,0.000000000000000e+00,2.287330000000000e-05, 2.82871e+04
00491,00023,1.161397935628020e+02,1.386036199982468e-07,0.000000000000000e+00,2.287330000000000e-05, 2.61767e+05
00496,00013,1.136565571886505e+02,1.386372845832403e-07,0.000000000000000e+00,2.287330000000000e-05, 3.28045e+05
00490,00013,1.191501389200715e+02,1.385886144441949e-07,0.000000000000000e+00,2.287330000000000e-05, 8.34488e+04
00378,00013,1.182603384125493e+02,1.385837801689584e-07,0.000000000000000e+00,2.287330000000000e-05, 2.90055e+05
00438,00024,1.372065812703519e+02,1.385340656376578e-07,0.000000000000000e+00,2.287330000000000e-05, 1.74987e+05
00435,00013,1.392301216839822e+02,1.385634288438360e-07,0.000000000000000e+00,2.287330000000000e-05, 2.05751e+05
00440,00024,8.995001066797504e+01,1.384916550787491e-07,0.000000000000000e+00,2.287330000000000e-05, 1.94351e+05
00436,00004,1.800000000000000e+02,1.385460000000000e-07,0.000000000000000e+00,2.287330000000000e-05, 1.36830e+05
00466,00026,7.999999999999633e-01,1.192270000000000e-07,0.000000000000000e+00,2.287330000000000e-05, 1.15751e+05
00468,00012,8.000000000000000e-01,1.388328715767217e-07,0.000000000000000e+00,2.287330000000000e-05, 1.67540e+05
00471,00108,3.359447654822984e+01,1.311194050983128e-07,0.000000000000000e+00,2.287330000000000e-05, 2.09958e+05
00447,00033,5.379199999999999e+01,2.109157576708691e-07,0.000000000000000e+00,2.287330000000000e-05, 3.08588e+05
00457,00103,5.299999999999999e+03,1.314346190589997e-07,1.000000000000000e+02,2.287330000000000e-05, 2.47075e+05
00455,00013,1.154045664768456e+02,1.386314531467955e-07,0.000000000000000e+00,2.287330000000000e-05, 1.47130e+05
00453,00013,1.281053025648161e+02,1.386174724041599e-07,0.000000000000000e+00,2.287330000000000e-05, 3.78713e+05
00450,00024,1.074937568944168e+02,1.386490523389639e-07,0.000000000000000e+00,2.287330000000000e-05, 2.75259e+05
00451,00013,9.695844772149736e+01,1.386661749330078e-07,0.000000000000000e+00,2.287330000000000e-05, 2.34579e+05
00418,00024,1.441564664315357e+02,1.385286161096371e-07,0.000000000000000e+00,2.287330000000000e-05, 6.72973e+05
00417,00013,1.313271201081150e+02,1.385891995609617e-07,0.000000000000000e+00,2.287330000000000e-05, 4.67356e+05
00409,00056,5.299999999999999e+03,2.912960000000000e-07,0.000000000000000e+00,2.287330000000000e-05, 2.17099e+04
00414,00013,1.381053024035272e+02,1.385524976641105e-07,0.000000000000000e+00,2.287330000000000e-05, 2.02880e+05
00415,00013,1.240406694412655e+02,1.385652616284684e-07,0.000000000000000e+00,2.287330000000000e-05, 2.71984e+04
