<<<<<<< HEAD
iddata,mu_eff,obj
00530, 1.83230e-01, 4.20462e+04
=======
idstudy,iddata,idopt,mu_eff,alpha,robin,dice,obj
00035,00530,00049,3.019857051571776e+02,1.192270000000000e-07,0.000000000000000e+00, 9.04348e-01, 9.19437e+04
00023,00428,00005,1.800000000000000e+02,1.385460000000000e-07,0.000000000000000e+00, 7.50000e-01, 3.67929e+05
00030,00495,00011,2.922013566224286e+02,1.385606826597536e-07,0.000000000000000e+00, 8.04348e-01, 1.13779e+06
00030,00497,00001,1.800000000000000e+02,1.385460000000000e-07,0.000000000000000e+00, 0.00000e+00, 3.65901e+04
00030,00488,00013,1.422876180629789e+02,1.385586142240534e-07,0.000000000000000e+00, 8.67514e-01, 4.01523e+05
00030,00491,00013,1.243788557265785e+02,1.385788223049346e-07,0.000000000000000e+00, 7.30070e-01, 2.50696e+05
00030,00496,00044,1.033313799888341e+02,1.385717840785529e-07,0.000000000000000e+00, 8.93519e-01, 3.24156e+05
00030,00490,00005,1.800000000000000e+02,1.385460000000000e-07,0.000000000000000e+00, 8.05508e-01, 8.11910e+04
00017,00378,00005,1.800000000000000e+02,1.385460000000000e-07,0.000000000000000e+00, 8.67797e-01, 2.87030e+05
00018,00402,00022,1.118319918779579e+02,1.385814376642969e-07,0.000000000000000e+00, 8.69010e-01, 8.93013e+05
00018,00389,00013,1.059340179285594e+02,1.385835343034241e-07,0.000000000000000e+00, 8.60215e-01, 4.12597e+05
00018,00385,00055,5.300000000000000e+03,1.192270000000000e-07,0.000000000000000e+00, 6.59794e-01, 4.94632e+05
00029,00476,00001,1.800000000000000e+02,1.385460000000000e-07,0.000000000000000e+00, 0.00000e+00, 2.52655e+05
00029,00477,00025,1.223200460585877e+02,1.385739305445563e-07,0.000000000000000e+00, 7.89762e-01, 8.78857e+05
00025,00438,00002,1.800000000000000e+02,1.385460000000000e-07,0.000000000000000e+00, 8.52273e-01, 1.75763e+05
00025,00435,00005,1.800000000000000e+02,1.385460000000000e-07,0.000000000000000e+00, 7.85206e-01, 1.98724e+05
00025,00440,00005,1.800000000000000e+02,1.385460000000000e-07,0.000000000000000e+00, 7.42489e-01, 1.79469e+05
00025,00436,00005,1.800000000000000e+02,1.385460000000000e-07,0.000000000000000e+00, 8.45902e-01, 1.20640e+05
00028,00466,00005,1.800000000000000e+02,1.385460000000000e-07,0.000000000000000e+00, 2.11494e-01, 1.13798e+05
00028,00468,00005,1.800000000000000e+02,1.385460000000000e-07,0.000000000000000e+00, 1.55102e-01, 1.66979e+05
00028,00471,00043,5.299999999999999e+03,2.870130985334805e-07,0.000000000000000e+00, 8.47059e-01, 1.42188e+05
00026,00447,00054,3.441674529980659e+03,2.912960000000001e-07,0.000000000000000e+00, 6.32768e-01, 2.52632e+05
00026,00457,00045,5.300000000000000e+03,1.192270000000000e-07,0.000000000000000e+00, 5.73034e-01, 2.56925e+05
00026,00455,00013,1.163514530324983e+02,1.385831346781151e-07,0.000000000000000e+00, 8.91192e-01, 1.50719e+05
00026,00453,00022,1.188471462752442e+02,1.385768855319643e-07,0.000000000000000e+00, 8.99582e-01, 3.79753e+05
>>>>>>> 2004a4af8411ccf2775b6e17c49ec304e596220a
