idstudy,iddata,idopt,mu_eff,alpha,robin,dice,obj
00035,00530,00002,2.600000000000000e+02,1.385460000000000e-07,0.000000000000000e+00, 2.80303e-01, 2.19969e+04
00023,00428,00003,1.000000000000000e+02,1.385460000000000e-07,0.000000000000000e+00, 1.00000e+00, 2.25881e+07
00030,00495,00010,2.694954004365730e+02,1.385460000000000e-07,0.000000000000000e+00, 1.82418e-01, 4.93364e+04
00030,00497,00009,1.112273927144011e+02,1.385460000000000e-07,0.000000000000000e+00, 1.00000e+00, 3.57869e+04
00030,00488,00003,1.000000000000000e+02,1.385460000000000e-07,0.000000000000000e+00, 1.00000e+00, 1.02451e+07
00030,00491,00001,1.800000000000000e+02,1.385460000000000e-07,0.000000000000000e+00, 2.56560e-01, 2.54431e+04
00030,00496,00005,1.739455363235327e+02,1.385460000000000e-07,0.000000000000000e+00, 3.09298e-01, 7.89493e+04
00030,00490,00001,1.800000000000000e+02,1.385460000000000e-07,0.000000000000000e+00, 2.37077e-01, 2.86732e+04
00017,00378,00014,2.699065189213118e+02,1.385460000000000e-07,0.000000000000000e+00, 2.39437e-01, 1.08062e+05
00018,00402,00003,1.000000000000000e+02,1.385460000000000e-07,0.000000000000000e+00, 9.98898e-01, 2.38944e+07
00018,00389,00003,1.000000000000000e+02,1.385460000000000e-07,0.000000000000000e+00, 1.00000e+00, 1.56940e+07
00018,00385,00003,1.000000000000000e+02,1.385460000000000e-07,0.000000000000000e+00, 1.00000e+00, 2.15671e+07
00029,00476,00003,1.000000000000000e+02,1.385460000000000e-07,0.000000000000000e+00, 1.00000e+00, 1.70861e+07
00029,00477,00003,1.000000000000000e+02,1.385460000000000e-07,0.000000000000000e+00, 1.00000e+00, 1.76592e+07
00025,00438,00001,1.800000000000000e+02,1.385460000000000e-07,0.000000000000000e+00, 3.52298e-01, 3.88381e+04
00025,00435,00001,1.800000000000000e+02,1.385460000000000e-07,0.000000000000000e+00, 3.71611e-01, 8.91096e+04
00025,00440,00004,1.478591090394471e+02,1.385460000000000e-07,0.000000000000000e+00, 5.06427e-01, 1.77733e+05
00025,00436,00009,1.063180298084315e+02,1.385460000000000e-07,0.000000000000000e+00, 1.00000e+00, 9.92430e+04
00028,00466,00003,1.000000000000000e+02,1.385460000000000e-07,0.000000000000000e+00, 1.00000e+00, 6.85079e+04
00028,00468,00003,1.000000000000000e+02,1.385460000000000e-07,0.000000000000000e+00, 1.00000e+00, 7.45785e+04
00028,00471,00003,1.000000000000000e+02,1.385460000000000e-07,0.000000000000000e+00, 1.00000e+00, 4.24649e+04
00026,00447,00004,1.475196457521967e+02,1.385460000000000e-07,0.000000000000000e+00, 6.57143e-01, 2.58394e+04
00026,00457,00004,1.455741140326341e+02,1.385460000000000e-07,0.000000000000000e+00, 5.82329e-01, 4.86964e+04
00026,00455,00004,1.583285611270862e+02,1.385460000000000e-07,0.000000000000000e+00, 3.25000e-01, 3.37373e+04
00026,00453,00001,1.800000000000000e+02,1.385460000000000e-07,0.000000000000000e+00, 2.52408e-01, 4.62750e+04
00026,00450,00009,1.798762299982294e+02,1.385460000000000e-07,0.000000000000000e+00, 4.36242e-01, 3.06809e+04
00026,00451,00001,1.800000000000000e+02,1.385460000000000e-07,0.000000000000000e+00, 4.01709e-01, 5.43332e+04
00022,00418,00001,1.800000000000000e+02,1.385460000000000e-07,0.000000000000000e+00, 3.33333e-01, 4.90910e+04
00022,00417,00002,2.600000000000000e+02,1.385460000000000e-07,0.000000000000000e+00, 3.53680e-01, 2.02229e+05
00021,00409,00001,1.800000000000000e+02,1.385460000000000e-07,0.000000000000000e+00, 1.00000e+00, 9.96509e+03
00021,00414,00001,1.800000000000000e+02,1.385460000000000e-07,0.000000000000000e+00, 3.31950e-01, 4.93485e+04
00021,00415,00004,1.416106559685985e+02,1.385460000000000e-07,0.000000000000000e+00, 5.78947e-01, 3.50154e+04
