iddata,idmin,mu_eff,alpha,robin,gamma,dice,obj
00530,00032,2.898161538777273e+02,1.192270000000000e-07,0.000000000000000e+00,2.287330000000000e-05, 9.42222e-01, 8.49866e+04
00433,00040,1.564391107186886e+02,1.385556721523309e-07,0.000000000000000e+00,2.287330000000000e-05, 0.00000e+00, 1.97924e+05
00428,00068,5.300000000000000e+03,1.192270000000000e-07,0.000000000000000e+00,2.287330000000000e-05, 4.72527e-01, 3.63041e+05
00495,00024,1.452874733424185e+02,1.385276684234824e-07,0.000000000000000e+00,2.287330000000000e-05, 7.34291e-01, 1.15413e+06
00497,00050,7.853982570342325e+01,1.551580375381906e-07,0.000000000000000e+00,2.287330000000000e-05, 0.00000e+00, 2.70526e+04
00488,00013,1.422873807163915e+02,1.385593590955288e-07,0.000000000000000e+00,2.287330000000000e-05, 8.67514e-01, 4.01543e+05
00491,00035,1.149537139496739e+02,1.376065898910250e-07,0.000000000000000e+00,2.287330000000000e-05, 7.10335e-01, 2.54510e+05
00496,00013,1.129381525450613e+02,1.386372842125015e-07,0.000000000000000e+00,2.287330000000000e-05, 8.67368e-01, 3.24150e+05
00490,00013,1.179634511417107e+02,1.385886079671404e-07,0.000000000000000e+00,2.287330000000000e-05, 7.72627e-01, 8.11964e+04
00378,00013,1.181894039037083e+02,1.385838223020258e-07,0.000000000000000e+00,2.287330000000000e-05, 7.87149e-01, 2.87036e+05
00402,00013,1.243874651455738e+02,1.386352415154892e-07,0.000000000000000e+00,2.287330000000000e-05, 8.50812e-01, 8.92904e+05
00389,00013,1.059117084566662e+02,1.386530630272267e-07,0.000000000000000e+00,2.287330000000000e-05, 8.60215e-01, 4.26053e+05
00385,00120,6.261290998208292e+01,1.209515385386699e-07,0.000000000000000e+00,2.287330000000000e-05, 3.92157e-01, 5.11386e+05
00476,00041,8.000000000000000e-01,1.743636522222015e-07,1.000000000000000e+02,2.287330000000000e-05,         nan, 1.38756e+05
00477,00071,9.045565633658018e+01,1.192270000000000e-07,0.000000000000000e+00,2.287330000000000e-05, 6.40909e-01, 8.72647e+05
00438,00013,1.389056646228781e+02,1.385716814073269e-07,0.000000000000000e+00,2.287330000000000e-05, 8.05907e-01, 1.75767e+05
00435,00013,1.380899592317064e+02,1.385644086700198e-07,0.000000000000000e+00,2.287330000000000e-05, 7.22853e-01, 1.98727e+05
00440,00103,5.300000000000000e+03,1.192270000000000e-07,0.000000000000000e+00,2.287330000000000e-05, 5.39419e-01, 1.74983e+05
00436,00150,5.300000000000000e+03,1.192270000000000e-07,0.000000000000000e+00,2.287330000000000e-05, 5.14286e-01, 9.95208e+04
00466,00042,7.999999999999633e-01,1.192270000000000e-07,0.000000000000000e+00,2.287330000000000e-05, 0.00000e+00, 1.13784e+05
00468,00045,7.999999999999633e-01,1.824034307777621e-07,0.000000000000000e+00,2.287330000000000e-05, 0.00000e+00, 1.66961e+05
00471,00079,5.300000000000000e+03,2.912960000000000e-07,0.000000000000000e+00,2.287330000000000e-05, 7.36842e-01, 1.30838e+05
00725,00068,7.546589403839407e+01,1.192270000000000e-07,1.000000000000000e+02,2.287330000000000e-05, 2.72727e-01, 2.12787e+06
00720,00040,1.800000000000000e+02,1.578650000000000e-07,0.000000000000000e+00,2.287330000000000e-05, 0.00000e+00, 2.09750e+05
00447,00089,8.068253508386874e+01,1.387690289244073e-07,0.000000000000000e+00,2.287330000000000e-05, 6.76692e-01, 2.20641e+05
00457,00071,5.300000000000000e+03,1.192270000000000e-07,0.000000000000000e+00,2.287330000000000e-05, 6.25698e-01, 2.26016e+05
00455,00036,1.139497444326081e+02,1.385939568894064e-07,0.000000000000000e+00,2.287330000000000e-05, 8.96552e-01, 1.44700e+05
00453,00013,1.289243074042918e+02,1.386152215487573e-07,0.000000000000000e+00,2.287330000000000e-05, 8.67188e-01, 3.81618e+05
00450,00024,1.074937568944168e+02,1.386490523389639e-07,0.000000000000000e+00,2.287330000000000e-05, 8.54430e-01, 2.75259e+05
00451,00013,9.695844772149736e+01,1.386661749330078e-07,0.000000000000000e+00,2.287330000000000e-05, 7.63251e-01, 2.34579e+05
00418,00024,1.441564664315357e+02,1.385286161096371e-07,0.000000000000000e+00,2.287330000000000e-05, 8.45735e-01, 6.72973e+05
00417,00013,1.313271201081150e+02,1.385891995609617e-07,0.000000000000000e+00,2.287330000000000e-05, 5.00000e-01, 4.67356e+05
00409,00056,5.299999999999999e+03,2.912960000000000e-07,0.000000000000000e+00,2.287330000000000e-05,         nan, 2.17099e+04
00414,00013,1.381053024035272e+02,1.385524976641105e-07,0.000000000000000e+00,2.287330000000000e-05, 0.00000e+00, 2.02880e+05
00415,00004,1.800000000000000e+02,1.385460000000000e-07,0.000000000000000e+00,2.287330000000000e-05, 7.79412e-01, 2.70817e+04
