"image_data","vtkValidPointMask","Time","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2"
37,1,0,0.12556,0.11712,0
34.953,1,1,0.12556,0.11712,0
35.803,1,2,0.12556,0.11712,0
35.261,1,3,0.12556,0.11712,0
31.224,1,4,0.12556,0.11712,0
34.631,1,5,0.12556,0.11712,0
32.631,1,6,0.12556,0.11712,0
36.337,1,7,0.12556,0.11712,0
34.799,1,8,0.12556,0.11712,0
32.418,1,9,0.12556,0.11712,0
36.82,1,10,0.12556,0.11712,0
35.115,1,11,0.12556,0.11712,0
35.25,1,12,0.12556,0.11712,0
34.953,1,13,0.12556,0.11712,0
35.393,1,14,0.12556,0.11712,0
34.797,1,15,0.12556,0.11712,0
35.876,1,16,0.12556,0.11712,0
32.777,1,17,0.12556,0.11712,0
34.503,1,18,0.12556,0.11712,0
34.649,1,19,0.12556,0.11712,0
36.264,1,20,0.12556,0.11712,0
37.013,1,21,0.12556,0.11712,0
36.451,1,22,0.12556,0.11712,0
33.781,1,23,0.12556,0.11712,0
33.708,1,24,0.12556,0.11712,0
38.238,1,25,0.12556,0.11712,0
34.044,1,26,0.12556,0.11712,0
36.101,1,27,0.12556,0.11712,0
36.555,1,28,0.12556,0.11712,0
34.477,1,29,0.12556,0.11712,0
37.241,1,30,0.12556,0.11712,0
43.803,1,31,0.12556,0.11712,0
45.481,1,32,0.12556,0.11712,0
43.938,1,33,0.12556,0.11712,0
48.328,1,34,0.12556,0.11712,0
46.352,1,35,0.12556,0.11712,0
38.28,1,36,0.12556,0.11712,0
39.841,1,37,0.12556,0.11712,0
39.394,1,38,0.12556,0.11712,0
37.979,1,39,0.12556,0.11712,0
34.284,1,40,0.12556,0.11712,0
34.79,1,41,0.12556,0.11712,0
36.488,1,42,0.12556,0.11712,0
37.753,1,43,0.12556,0.11712,0
33.246,1,44,0.12556,0.11712,0
34.953,1,45,0.12556,0.11712,0
36.372,1,46,0.12556,0.11712,0
34.953,1,47,0.12556,0.11712,0
35.307,1,48,0.12556,0.11712,0
34.288,1,49,0.12556,0.11712,0
32.557,1,50,0.12556,0.11712,0
33.579,1,51,0.12556,0.11712,0
36.239,1,52,0.12556,0.11712,0
36.708,1,53,0.12556,0.11712,0
34.207,1,54,0.12556,0.11712,0
33.896,1,55,0.12556,0.11712,0
45.45,1,56,0.12556,0.11712,0
68.463,1,57,0.12556,0.11712,0
67.116,1,58,0.12556,0.11712,0
81.024,1,59,0.12556,0.11712,0
85.492,1,60,0.12556,0.11712,0
63.625,1,61,0.12556,0.11712,0
51.704,1,62,0.12556,0.11712,0
50.674,1,63,0.12556,0.11712,0
48.301,1,64,0.12556,0.11712,0
45.219,1,65,0.12556,0.11712,0
44.179,1,66,0.12556,0.11712,0
44.641,1,67,0.12556,0.11712,0
42.169,1,68,0.12556,0.11712,0
40.537,1,69,0.12556,0.11712,0
40.608,1,70,0.12556,0.11712,0
38.988,1,71,0.12556,0.11712,0
41.501,1,72,0.12556,0.11712,0
42.812,1,73,0.12556,0.11712,0
40.216,1,74,0.12556,0.11712,0
